Ref,Val,Package,PosX,PosY,Rot,Side
"ANT1","Pogo_Pad_6mm","Pogo_Pad_6mm",115.000000,-82.000000,0.000000,top
"C1","100nF","LCSC_C307331_C0402",22.000000,-16.000000,0.000000,top
"C2","100nF","LCSC_C307331_C0402",108.000000,-16.000000,0.000000,top
"C3","100nF","LCSC_C307331_C0402",22.000000,-76.000000,0.000000,top
"C4","100nF","LCSC_C307331_C0402",91.000000,-76.000000,0.000000,top
"C5","100nF","LCSC_C307331_C0402",30.000000,-20.000000,0.000000,top
"C6","100nF","LCSC_C307331_C0402",32.000000,-22.000000,0.000000,top
"C7","100nF","LCSC_C307331_C0402",34.000000,-24.000000,0.000000,top
"C8","100nF","LCSC_C307331_C0402",36.000000,-26.000000,0.000000,top
"C9","100nF","LCSC_C307331_C0402",28.000000,-18.000000,0.000000,top
"C10","100nF","LCSC_C307331_C0402",65.000000,-80.000000,0.000000,top
"C11","100nF","LCSC_C307331_C0402",66.000000,-81.000000,0.000000,top
"C12","10nF","LCSC_C15195_C0402",62.000000,-30.000000,0.000000,top
"C13","10nF","LCSC_C15195_C0402",68.000000,-30.000000,0.000000,top
"C14","10nF","LCSC_C15195_C0402",64.000000,-27.000000,0.000000,top
"C15","10nF","LCSC_C15195_C0402",66.000000,-27.000000,0.000000,top
"C16","10nF","LCSC_C15195_C0402",30.000000,-30.000000,0.000000,top
"C17","10nF","LCSC_C15195_C0402",32.000000,-32.000000,0.000000,top
"C18","4.7uF","LCSC_C23733_C0402",28.000000,-35.000000,0.000000,top
"C19","4.7uF","LCSC_C23733_C0402",30.000000,-35.000000,0.000000,top
"C20","4.7uF","LCSC_C23733_C0402",66.000000,-28.000000,0.000000,top
"C21","4.7uF","LCSC_C23733_C0402",70.000000,-78.000000,0.000000,top
"C22","4.7uF","LCSC_C23733_C0402",64.000000,-77.000000,0.000000,top
"C23","10uF","LCSC_C15525_C0402",63.000000,-8.000000,0.000000,top
"C24","10uF","LCSC_C15525_C0402",22.000000,-12.000000,0.000000,top
"C25","10uF","LCSC_C15525_C0402",62.000000,-76.000000,0.000000,top
"C26","22uF","LCSC_C59461_C0603",30.000000,-15.000000,0.000000,top
"C27","22uF","LCSC_C59461_C0603",28.000000,-12.000000,0.000000,top
"C28","2.2uF","LCSC_C12530_C0402",64.000000,-26.000000,0.000000,top
"C29","1uF","LCSC_C52923_C0402",66.000000,-32.000000,0.000000,top
"C30","1uF","LCSC_C52923_C0402",18.000000,-18.000000,0.000000,top
"D1","PESD5V0S1BL","LCSC_C84374_SOD-882_L1.0-W0.6-BI",18.000000,-15.000000,0.000000,top
"D2","PESD5V0S1BL","LCSC_C84374_SOD-882_L1.0-W0.6-BI",112.000000,-15.000000,0.000000,top
"D3","PESD5V0S1BL","LCSC_C84374_SOD-882_L1.0-W0.6-BI",18.000000,-75.000000,0.000000,top
"D4","PESD5V0S1BL","LCSC_C84374_SOD-882_L1.0-W0.6-BI",95.000000,-75.000000,0.000000,top
"E1","Pogo_Pad_6mm","Pogo_Pad_6mm",18.000000,-15.000000,0.000000,top
"E2","Pogo_Pad_6mm","Pogo_Pad_6mm",112.000000,-15.000000,0.000000,top
"E3","Pogo_Pad_6mm","Pogo_Pad_6mm",18.000000,-75.000000,0.000000,top
"E4","Pogo_Pad_6mm","Pogo_Pad_6mm",95.000000,-75.000000,0.000000,top
"FB1","600R","LCSC_C1002_L0603",45.000000,-35.000000,0.000000,top
"J1","TYPE-C-31-M-12","LCSC_C165948_USB-C_SMD-TYPE-C-31-M-12_1",65.000000,-5.000000,0.000000,top
"L1","2.2uH","LCSC_C5832372_IND-SMD_L2.5-W2.0_MHCHL2520",25.000000,-20.000000,0.000000,top
"MH1","MountingHole","MountingHole_3.2mm_M3",6.000000,-6.000000,0.000000,top
"MH2","MountingHole","MountingHole_3.2mm_M3",6.000000,-84.000000,0.000000,top
"MH3","MountingHole","MountingHole_3.2mm_M3",124.000000,-6.000000,0.000000,top
"MH4","MountingHole","MountingHole_3.2mm_M3",124.000000,-84.000000,0.000000,top
"R1","1k","LCSC_C11702_R0402",60.000000,-30.000000,0.000000,top
"R2","1k 0.1%","LCSC_C852624_R0402",63.000000,-28.000000,0.000000,top
"R3","1k","LCSC_C11702_R0402",20.000000,-16.000000,0.000000,top
"R4","1k","LCSC_C11702_R0402",110.000000,-16.000000,0.000000,top
"R5","1k","LCSC_C11702_R0402",20.000000,-76.000000,0.000000,top
"R6","1k","LCSC_C11702_R0402",93.000000,-76.000000,0.000000,top
"R7","3.3k","LCSC_C22978_R0603",16.000000,-15.000000,0.000000,top
"R8","3.3k","LCSC_C22978_R0603",114.000000,-15.000000,0.000000,top
"R9","3.3k","LCSC_C22978_R0603",16.000000,-75.000000,0.000000,top
"R10","3.3k","LCSC_C22978_R0603",97.000000,-75.000000,0.000000,top
"R11","4.7k","LCSC_C25900_R0402",55.000000,-55.000000,0.000000,top
"R12","4.7k","LCSC_C25900_R0402",57.000000,-55.000000,0.000000,top
"R13","5.1k","LCSC_C25905_R0402",63.000000,-6.000000,0.000000,top
"R14","5.1k","LCSC_C25905_R0402",67.000000,-6.000000,0.000000,top
"R15","10k","LCSC_C25744_R0402",68.000000,-70.000000,0.000000,top
"R16","10k","LCSC_C25744_R0402",68.000000,-72.000000,0.000000,top
"R17","10k","LCSC_C25744_R0402",68.000000,-74.000000,0.000000,top
"R18","10k","LCSC_C25744_R0402",16.000000,-18.000000,0.000000,top
"R19","10k","LCSC_C25744_R0402",18.000000,-20.000000,0.000000,top
"R20","10k","LCSC_C25744_R0402",58.000000,-85.000000,0.000000,top
"R21","1M","LCSC_C26083_R0402",68.000000,-78.000000,0.000000,top
"R22","1M","LCSC_C26083_R0402",70.000000,-80.000000,0.000000,top
"R23","2k","LCSC_C4109_R0402",18.000000,-16.000000,0.000000,top
"SW1","SW","LCSC_C318884_SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5",60.000000,-85.000000,0.000000,top
"U1","NRF52840-QIAA-R","LCSC_C190794_AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8",65.000000,-75.000000,90.000000,top
"U2","AFE4300PNR","LCSC_C528638_LQFP-80_L12.0-W12.0-P0.50-LS14.0-TL",65.000000,-25.000000,0.000000,top
"U3","ETA9741E8A","LCSC_C7465513_ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1",20.000000,-15.000000,0.000000,top
"U4","LIS2DH12TR","LCSC_C110926_LGA-12_L2.0-W2.0-P0.50-BL",50.000000,-60.000000,0.000000,top
"Y1","32MHz","LCSC_C32346_FC-135R_L3.2-W1.5",75.000000,-70.000000,0.000000,top
"Y2","32.768kHz","LCSC_C12674_CRYSTAL-SMD_L11.5-W4.8-LS12.7",70.000000,-72.000000,0.000000,top
